match,date,name,venue,city,country,hometeam,awayteam,homegoal,awaygoal,status,update time 
40,2022-11-30 14:00,Saudi Arabia vs Mexico,Lusail Iconic Stadium,Lusail,Qatar,Saudi Arabia,Mexico,1,2,FULL_TIME,2022-12-18 12:04:38
42,2022-12-01 10:00,Canada vs Morocco,Al Thumama Stadium,Doha,Qatar,Canada,Morocco,1,2,FULL_TIME,2022-12-18 12:04:38
41,2022-12-01 10:00,Croatia vs Belgium,Ahmad bin Ali Stadium,Al Rayyan,Qatar,Croatia,Belgium,0,0,FULL_TIME,2022-12-18 12:04:38
44,2022-12-01 14:00,Costa Rica vs Germany,Al Bayt Stadium,Al Khor,Qatar,Costa Rica,Germany,2,4,FULL_TIME,2022-12-18 12:04:38
43,2022-12-01 14:00,Japan vs Spain,Khalifa International Stadium,Al Rayyan,Qatar,Japan,Spain,2,1,FULL_TIME,2022-12-18 12:04:38
45,2022-12-02 10:00,Ghana vs Uruguay,Al Janoub Stadium,Al Wkrah,Qatar,Ghana,Uruguay,0,2,FULL_TIME,2022-12-18 12:04:38
46,2022-12-02 10:00,South Korea vs Portugal,Education City Stadium,Al Rayyan,Qatar,South Korea,Portugal,2,1,FULL_TIME,2022-12-18 12:04:38
48,2022-12-02 14:00,Cameroon vs Brazil,Lusail Iconic Stadium,Lusail,Qatar,Cameroon,Brazil,1,0,FULL_TIME,2022-12-18 12:04:38
47,2022-12-02 14:00,Serbia vs Switzerland,Stadium 974,Doha,Qatar,Serbia,Switzerland,2,3,FULL_TIME,2022-12-18 12:04:38
49,2022-12-03 10:00,Netherlands vs United States,Khalifa International Stadium,Al Rayyan,Qatar,Netherlands,United States,3,1,FULL_TIME,2022-12-18 12:04:38
50,2022-12-03 14:00,Argentina vs Australia,Ahmad bin Ali Stadium,Al Rayyan,Qatar,Argentina,Australia,2,1,FULL_TIME,2022-12-18 12:04:38
52,2022-12-04 10:00,France vs Poland,Al Thumama Stadium,Doha,Qatar,France,Poland,3,1,FULL_TIME,2022-12-18 12:04:38
51,2022-12-04 14:00,England vs Senegal,Al Bayt Stadium,Al Khor,Qatar,England,Senegal,3,0,FULL_TIME,2022-12-18 12:04:38
53,2022-12-05 10:00,Japan vs Croatia,Al Janoub Stadium,Al Wkrah,Qatar,Japan,Croatia,1,3,FINAL_PEN,2022-12-18 12:04:38
54,2022-12-05 14:00,Brazil vs South Korea,Stadium 974,Doha,Qatar,Brazil,South Korea,4,1,FULL_TIME,2022-12-18 12:04:38
55,2022-12-06 10:00,Morocco vs Spain,Education City Stadium,Al Rayyan,Qatar,Morocco,Spain,3,0,FINAL_PEN,2022-12-18 12:04:38
56,2022-12-06 14:00,Portugal vs Switzerland,Lusail Iconic Stadium,Lusail,Qatar,Portugal,Switzerland,6,1,FULL_TIME,2022-12-18 12:04:38
58,2022-12-09 10:00,Croatia vs Brazil,Education City Stadium,Al Rayyan,Qatar,Croatia,Brazil,5,3,FINAL_PEN,2022-12-18 12:04:38
57,2022-12-09 14:00,Netherlands vs Argentina,Lusail Iconic Stadium,Lusail,Qatar,Netherlands,Argentina,5,6,FINAL_PEN,2022-12-18 12:04:38
60,2022-12-10 10:00,Morocco vs Portugal,Al Thumama Stadium,Doha,Qatar,Morocco,Portugal,1,0,FULL_TIME,2022-12-18 12:04:38
59,2022-12-10 14:00,England vs France,Al Bayt Stadium,Al Khor,Qatar,England,France,1,2,FULL_TIME,2022-12-18 12:04:38
61,2022-12-13 14:00,Argentina vs Croatia,Lusail Iconic Stadium,Lusail,Qatar,Argentina,Croatia,3,0,FULL_TIME,2022-12-18 12:04:38
62,2022-12-14 14:00,France vs Morocco,Al Bayt Stadium,Al Khor,Qatar,France,Morocco,2,0,FULL_TIME,2022-12-18 12:04:38
63,2022-12-17 10:00,Croatia vs Morocco,Khalifa International Stadium,Al Rayyan,Qatar,Croatia,Morocco,2,1,FULL_TIME,2022-12-18 12:04:38
64,2022-12-18 10:00,Argentina vs France,Lusail Iconic Stadium,Lusail,Qatar,Argentina,France,2,2,SECOND_HALF,2022-12-18 12:04:38
